topic,id,text
alonso,1552940716543942657,@F1 @alo_oficial https://t.co/2lF0wxJymE
alonso,1552940711531761666,@F1 @alo_oficial https://t.co/R0xy4NpJ23
alonso,1552940118079844352,@F1 @alo_oficial Que grandes ers magic https://t.co/KiNhICkx1X
alonso,1552939877532143616,@F1 @alo_oficial grande nanín
alonso,1552939772422791168,@F1 @alo_oficial Feliz día del padre!
alonso,1552939622568808450,@F1 @alo_oficial How he’ll celebrate it 😂 https://t.co/X9hgQZ1sda
alonso,1552939600305623042,@F1 @alo_oficial Happy Birthday Legend!!!! https://t.co/BQ2vFtfYBi
alonso,1552939164068450304,@F1 @alo_oficial What a potential has this rookie! Hope he gets into a great team with a faster car
alonso,1552938987995668486,@F1 @alo_oficial So much better than Vettel
alonso,1552938922111549440,@F1 @alo_oficial https://t.co/oyHIzZHDJO
alonso,1552938738380144641,"@F1 @alo_oficial He's crazy, he's gonna do it. He's gonna put a Renault Megane on the podium."
alonso,1552938412608557058,@F1 @alo_oficial Happy birthday man EL plan 🎉✌🏻👍🏻🥳
alonso,1552938223541821440,@F1 @alo_oficial EL PLAN
alonso,1552938222308667392,@F1 @alo_oficial Happy birthday 👏
alonso,1552937514947706881,"@F1 @alo_oficial Muchas felicidades,CAMPEÓN 👍👍👍👍💖💖💖"
alonso,1552937487516983297,"@F1 @alo_oficial It's time to let go of 2007, @alo_oficial 😂😂😂"
alonso,1552937360333197313,@F1 @alo_oficial The smartest driver of the grid imo Happy Birthday Alonso🥳😇
alonso,1552937336488562688,@F1 @alo_oficial https://t.co/CR8m0pRiZq
alonso,1552937231719235584,@F1 @alo_oficial Happiest Birthday rockstar @alo__official . Wishing you all the luck!
alonso,1552937152568344576,@F1 @alo_oficial Happy birthday driver better than Hamilton
alonso,1552937094896652288,@F1 @alo_oficial Happy birthday!!
alonso,1552937041565982720,@F1 @alo_oficial Happy birthday Fernando… 3 cheers from the podium I hope🤞🤞
alonso,1552936744886083585,@F1 @alo_oficial El Nano Giga Chad
alonso,1552936698660659200,"@F1 @alo_oficial Pls it’s not yet till for you to retire Fernando, #F1 needs Alonso."
alonso,1552936494330945536,@F1 @alo_oficial Happy 64th bday x
alonso,1552936248104337409,@F1 @alo_oficial https://t.co/TPmv0cQa4t
